,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
6316,42:31.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6317,42:31.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6318,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6322,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6323,42:31.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6364,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6365,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6366,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6367,42:32.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6403,42:33.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6408,42:33.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6411,42:33.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6458,42:34.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6469,42:34.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6478,42:34.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6519,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,228.28.71.225,10.190.194.118,,,,,,
6520,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6532,42:35.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6543,42:35.7,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6614,42:36.6,00:17:88:77:35:80,92:2c:c5:ee:c3:b4,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6615,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6616,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,,,,,,,,
6617,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,,,,,,,,
6618,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6619,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6620,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6626,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
6627,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,94.98.253.121,192.168.1.122,,,1900,57882.0,,
6628,42:36.6,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,57882.0,,
